NOME_PRODUTO;CATEGORIA_REGULATORIA;CLASSE_TERAPEUTICA;PRINCIPIO_ATIVO;EMPRESA_DETENTORA_REGISTRO
ISOFARMA SOLUÇÃO DE FOSFATO DE POTÁSSIO 2 MEQ/ML;Específico;ELETROLITOS SIMPLES;FOSFATO DE POTÁSSIO MONOBÁSICO, FOSFATO DE POTÁSSIO DIBÁSICO;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA
MAGNOSTON;Específico;ELETROLITOS SIMPLES;SULFATO DE MAGNÉSIO HEPTAIDRATADO;BLAU FARMACÊUTICA S.A.
RINGER;Específico;ELETROLITOS SIMPLES;CLORETO DE SÓDIO, CLORETO DE POTÁSSIO, CLORETO DE CÁLCIO 2H2O, cloreto de cálcio diidratado;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA
RINGER COM LACTATO;Específico;ELETROLITOS SIMPLES;CLORETO DE SÓDIO, CLORETO DE POTÁSSIO, CLORETO DE CÁLCIO, LACTATO DE SÓDIO;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA
SELENOZ;Específico;ELETROLITOS SIMPLES;SELÊNIO;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
SLOW-K;Específico;ELETROLITOS SIMPLES;CLORETO DE POTÁSSIO;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A
SOLUÇÃO DE BICARBONATO DE SÓDIO 8,4% HALEX ISTAR;Específico;ELETROLITOS SIMPLES;BICARBONATO DE SÓDIO, EDTA DISSÓDICO;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA
SOLUÇÃO DE CLORETO DE POTÁSSIO;Específico;ELETROLITOS SIMPLES;CLORETO DE POTÁSSIO;FARMACE INDÚSTRIA QUÍMICO
SULFATO DE MAGNÉSIO;Específico;ELETROLITOS SIMPLES;SULFATO DE MAGNÉSIO;SAMTEC BIOTECNOLOGIA LIMITADA
SULFATO DE MAGNÉSIO HEPTAHIDRATADO;Específico;ELETROLITOS SIMPLES;SULFATO DE MAGNÉSIO HEPTAIDRATADO;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
SULFATO DE ZINCO;Específico;ELETROLITOS SIMPLES;SULFATO DE ZINCO HEPTAIDRATADO;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
AD FURP;Específico;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;PALMITATO DE RETINOL, COLECALCIFEROL, OXIDO DE ZINCO, ÓXIDO DE ZINCO;FUNDAÇÃO PARA O REMÉDIO POPULAR
ACU FRESH G;Específico;EMOLIENTES E PROTETORES OFTALMICOS;CARMELOSE SÓDICA, GLICEROL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A
DEWS;Específico;EMOLIENTES E PROTETORES OFTALMICOS;CARMELOSE SÓDICA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A
HILUROPT;Específico;EMOLIENTES E PROTETORES OFTALMICOS;HIALURONATO DE SÓDIO;GEOLAB INDÚSTRIA FARMACÊUTICA S/A
HYLO-COMOD;Específico;EMOLIENTES E PROTETORES OFTALMICOS;HIALURONATO DE SÓDIO;FBM INDÚSTRIA FARMACÊUTICA LTDA
HYLO-GEL;Específico;EMOLIENTES E PROTETORES OFTALMICOS;HIALURONATO DE SÓDIO;FBM INDÚSTRIA FARMACÊUTICA LTDA
LACRIBELL;Específico;EMOLIENTES E PROTETORES OFTALMICOS;DEXTRANO, HIPROMELOSE;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
LAGRIMOURA;Específico;EMOLIENTES E PROTETORES OFTALMICOS;CARMELOSE SÓDICA;OPELLA HEALTHCARE BRAZIL LTDA
LAXIME;Específico;EMOLIENTES E PROTETORES OFTALMICOS;HIALURONATO DE SÓDIO;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
LUNAH;Específico;EMOLIENTES E PROTETORES OFTALMICOS;HIALURONATO DE SÓDIO;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
MIRUGELL;Específico;EMOLIENTES E PROTETORES OFTALMICOS;MACROGOL, PROPILENOGLICOL, HIDROXIPROPIL GUAR;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
OCUSYS;Específico;EMOLIENTES E PROTETORES OFTALMICOS;MACROGOL, PROPILENOGLICOL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A
OPTOLUBRI;Específico;EMOLIENTES E PROTETORES OFTALMICOS;CARMELOSE SÓDICA;LEBON PRODUTOS QUÍMICOS E FARMACÊUTICOS LTDA
PLENIGELL;Específico;EMOLIENTES E PROTETORES OFTALMICOS;CARMELOSE SÓDICA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
SENSILACRI;Específico;EMOLIENTES E PROTETORES OFTALMICOS;HIPROMELOSE, dextrana 70 (99m Tc);GEOLAB INDÚSTRIA FARMACÊUTICA S/A
BASENA ENEMA DE GLICERINA A 12%;Específico;ENEMAS;GLICEROL;BASAL INDUSTRIA FARMACEUTICA LTDA
ENEMA JP;Específico;ENEMAS;fosfato de sódio monobásico monoidratado, FOSFATO DE SÓDIO DIBÁSICO HEPTAIDRATADO;JP INDUSTRIA FARMACEUTICA S/A
GLICERINA 12%;Específico;ENEMAS;GLICEROL;FARMACE INDÚSTRIA QUÍMICO
GLICERINA 12%;Específico;ENEMAS;GLICERINA;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA
GLICEROL ENEMA 12%;Específico;ENEMAS;GLICEROL;HYPOFARMA
SOLUÇÃO ENEMA DE GLICERINA;Específico;ENEMAS;GLICEROL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
CALCIOFAR PLUS;Específico;FÁRMACOS PARA O TRATAMENTO DA HIPERCALEMIA E HIPERFOSFATEMIA;CARBONATO DE CÁLCIO;BELFAR LTDA
EPOCLER COMPRIMIDO;Específico;HEPATOPROTETORES E LIPOTROPICOS;racemetionina, CLORETO DE COLINA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
NUFIG MET;Específico;HEPATOPROTETORES E LIPOTROPICOS;SILYBUM MARIANUM (L.) GAERTN, racemetionina;GEOLAB INDÚSTRIA FARMACÊUTICA S/A
SILIMALON;Específico;HEPATOPROTETORES E LIPOTROPICOS;racemetionina, SILYBUM MARIANUM (L.) GAERTN;ZYDUS NIKKHO FARMACÊUTICA LTDA
SILIMALON 140;Específico;HEPATOPROTETORES E LIPOTROPICOS;SILYBUM MARIANUM (L.) GAERTN, racemetionina;ZYDUS NIKKHO FARMACÊUTICA LTDA
SILIMALON VITA E;Específico;HEPATOPROTETORES E LIPOTROPICOS;SILYBUM MARIANUM (L.) GAERTN, ACETATO DE RACEALFATOCOFEROL;ZYDUS NIKKHO FARMACÊUTICA LTDA
LEUCOGEN;Específico;IMUNOMODULADOR;TIMOMODULINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
ENEMIN;Específico;LAXANTES;SORBITOL, LAURILSULFATO DE SÓDIO;KLEY HERTZ FARMACEUTICA S.A
IMOLAXX;Específico;LAXANTES;LACTITOL MONOIDRATADO;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA
LAQUIXAN;Específico;LAXANTES;LACTULOSE;HIPOLABOR FARMACEUTICA LTDA
MINILAX;Específico;LAXANTES;SORBITOL, LAURILSULFATO DE SÓDIO;EUROFARMA LABORATORIOS S.A.
MUVINLAX;Específico;LAXANTES;MACROGOL 3350, BICARBONATO DE SÓDIO, CLORETO DE POTÁSSIO, CLORETO DE SÓDIO;LIBBS FARMACÊUTICA LTDA
PENTALAC;Específico;LAXANTES;LACTULOSE;BELFAR LTDA
CLISTEROL;Específico;LAXANTES IRRITANTES OU ESTIMULANTES;GLICERINA;JP INDUSTRIA FARMACEUTICA S/A
SOLUCAO DE GLICERINA;Específico;LAXANTES IRRITANTES OU ESTIMULANTES;GLICERINA;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA
DUPHALAC;Específico;LAXANTES SUAVIZADORES OU EMOLIENTES;LACTULOSE;ABBOTT LABORATÓRIOS DO BRASIL LTDA
LACTOSAN;Específico;LAXANTES SUAVIZADORES OU EMOLIENTES;LACTULOSE;SANTISA LABORATÓRIO FARMACÊUTICO S/A
LACTULONA;Específico;LAXANTES SUAVIZADORES OU EMOLIENTES;LACTOSE, LACTULOSE;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA
BICARBONATO DE SÓDIO;Específico;MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA;BICARBONATO DE SÓDIO;FRESENIUS KABI BRASIL LTDA
BICARBONATO DE SÓDIO - FARMACE;Específico;MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA;BICARBONATO DE SÓDIO;FARMACE INDÚSTRIA QUÍMICO
SOLUCAO FISIOLOGICA DE RINGER COM LACTATO DE SODIO;Específico;MEDICACAO PARA TRATAMENTO DA ACIDOSE METABOLICA;CLORETO DE SÓDIO, CLORETO DE POTÁSSIO, cloreto de cálcio diidratado, LACTATO DE SÓDIO;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
DOISKA 180;Específico;MEDICAMENTOS AFETANDO A ESTRUTURA ÓSSEA E MINERALIZAÇÃO;MENAEPTENONA;BIOLAB SANUS FARMACÊUTICA LTDA
MENAKA;Específico;MEDICAMENTOS AFETANDO A ESTRUTURA ÓSSEA E MINERALIZAÇÃO;MENAEPTENONA;MYRALIS INDÚSTRIA FARMACÊUTICA LTDA
ARTELAC;Específico;MEDICAMENTOS COM ACAO NO APARELHO VISUAL;HIPROMELOSE;BL INDÚSTRIA OTICA LTDA
SOLUÇÃO SALINA BALANCEADA - HALEX ISTAR;Específico;MEDICAMENTOS COM ACAO NO APARELHO VISUAL;CLORETO DE SÓDIO, CLORETO DE POTÁSSIO, cloreto de cálcio diidratado, CLORETO DE MAGNÉSIO HEXAIDRATADO, ACETATO DE SÓDIO TRIIDRATADO, CITRATO DE SÓDIO DI-hIDRATADO, ACETATO DE SÓDIO, CITRATO DE SÓDIO, CLORETO DE CÁLCIO, CLORETO DE MAGNÉSIO, CLORETO DE SÓDIO + ASSOCIAÇÕES;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA
VIDISIC GEL;Específico;MEDICAMENTOS COM ACAO NO APARELHO VISUAL;ÁCIDO POLIACRÍLICO;BL INDÚSTRIA OTICA LTDA
FUMAGUM;Específico;MEDICAMENTOS UTILIZADOS NO TRATAMENTO DA DEPENDÊNCIA DA NICOTINA;COPOLÍMERO DE DIVINILBENZENO E METACRILATO DE NICOTINA;FARMOQUÍMICA S/A
ÁCIDO ASCÓRBICO HYPOFARMA;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;HYPOFARMA
ATIVB;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;BIOLAB SANUS FARMACÊUTICA LTDA
BEDOZE;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE HIDROXOCOBALAMINA;EUROFARMA LABORATORIOS S.A.
BENERVA;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE TIAMINA;CELLERA FARMACÊUTICA S.A.
BHIO;Específico;MONOVITAMINAS EXCETO VITAMINA K;BIOTINA;FARMOQUÍMICA S/A
BMAST;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;DROXTER INDUSTRIA, COMÉRCIO E PARTICIPAÇÕES LTDA
CEVITA;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;LABORATÓRIO TEUTO BRASILEIRO S/A
CLORIDRATO DE TIAMINA;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE TIAMINA;HIPOLABOR FARMACEUTICA LTDA
COBI-12;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;APSEN FARMACEUTICA S/A
CRONOBÊ;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE HIDROXOCOBALAMINA, COBALAMINA;BIOLAB SANUS FARMACÊUTICA LTDA
DEFB;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;BIOLAB SANUS FARMACÊUTICA LTDA
DODIBE;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
DOZEMAST;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;MARJAN INDÚSTRIA E COMÉRCIO LTDA
DOZI;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;EUROFARMA LABORATORIOS S.A.
EPHYNAL;Específico;MONOVITAMINAS EXCETO VITAMINA K;ACETATO DE RACEALFATOCOFEROL;BAYER S.A.
KERABIO;Específico;MONOVITAMINAS EXCETO VITAMINA K;BIOTINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A
MEC 12;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;EUROFARMA LABORATORIOS S.A.
MECOBALAMINA;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;MYRALIS INDÚSTRIA FARMACÊUTICA LTDA
MECOBALAMINA;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;BIOLAB SANUS FARMACÊUTICA LTDA
MECOBE;Específico;MONOVITAMINAS EXCETO VITAMINA K;MECOBALAMINA;MYRALIS INDÚSTRIA FARMACÊUTICA LTDA
NAÉVIA;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE TIAMINA;CELLERA FARMACÊUTICA S.A.
NERVAMIN;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE TIAMINA;PRATI DONADUZZI & CIA LTDA
NEURI - B6;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE PIRIDOXINA;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
NEURIVIT;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE TIAMINA;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
REDOXON;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;BAYER S.A.
SANTISAVIT C;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;SANTISA LABORATÓRIO FARMACÊUTICO S/A
VAGI C;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;MARJAN INDÚSTRIA E COMÉRCIO LTDA
VITAMINA B1 NEO QUÍMICA;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE TIAMINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A
VITAMINA B12;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE HIDROXOCOBALAMINA;BIOLAB SANUS FARMACÊUTICA LTDA
VITARISTON C;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;BLAU FARMACÊUTICA S.A.
VITASANTISA C;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;SANTISA LABORATÓRIO FARMACÊUTICO S/A
VITAUM;Específico;MONOVITAMINAS EXCETO VITAMINA K;CLORIDRATO DE TIAMINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A
VITAXON C;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
VITERGYL C;Específico;MONOVITAMINAS EXCETO VITAMINA K;ÁCIDO ASCÓRBICO;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA
VITERSOL DM;Específico;MONOVITAMINAS EXCETO VITAMINA K;COLECALCIFEROL;MARJAN INDÚSTRIA E COMÉRCIO LTDA
ADDAVEN;Específico;NUTRIENTES PARENTERAIS;CLORETO DE ZINCO, CLORETO FÉRRICO, FLUORETO DE SÓDIO, CLORETO CÚPRICO, dicloreto de manganês tetraidratado, SELENITO DE SÓDIO, IODETO DE POTÁSSIO, CLORETO CRÔMICO HEXAIDRATADO, molibdato de sódio diidratado;FRESENIUS KABI BRASIL LTDA
AMINOSTERIL N-HEPA 8%;Específico;NUTRIENTES PARENTERAIS;ISOLEUCINA, L-ISOLEUCINA, L-LEUCINA, LEUCINA, ACETATO DE LISINA, L-LISINA, L-METIONINA, metionina (11 C), ACETILCISTEÍNA, FENILALAMINA, L-FENILALANINA, L-TREONINA, TREONINA, L-TRIPTOFANO, TRIPTOFANo, LEVOVALINA, ARGININA, L-ARGININA, HISTIDINA, L-HISTIDINA, GLICINA, ALANINA, L-ALANINA, L-PROLINA, PROLINA, L-SERINA, SERINA;FRESENIUS KABI BRASIL LTDA
AMINOVEN;Específico;NUTRIENTES PARENTERAIS;ISOLEUCINA, L-ISOLEUCINA, L-LEUCINA, LEUCINA, ACETATO DE LISINA, L-METIONINA, FENILALANINA, L-FENILALANINA, L-TREONINA, TREONINA, L-TRIPTOFANO, TRIPTOFANo, ARGININA, LEVOVALINA, L-ARGININA, L-HISTIDINA, HISTIDINA, L-ALANINA, ALANINA, GLICINA, L-PROLINA, PROLINA, TAURINA, L-SERINA, SERINA, TIROSINA, N-ACETIL TIROSINA, N-ACETIL CISTEÍNA, L-ÁCIDO MÁLICO;FRESENIUS KABI BRASIL LTDA
AMINOVEN 10% INFANT;Específico;NUTRIENTES PARENTERAIS;ISOLEUCINA, LEUCINA, ACETATO DE LISINA, L-METIONINA, FENILALANINA, TREONINA, TRIPTOFANo, LEVOVALINA, ARGININA, HISTIDINA, GLICINA, ALANINA, PROLINA, SERINA, TAURINA, ACETILTIROSINA, ACETILCISTEÍNA, ÁCIDO MÁLICO;FRESENIUS KABI BRASIL LTDA
AMIXAL;Específico;NUTRIENTES PARENTERAIS;ISOLEUCINA, LEUCINA, ACETATO DE LISINA, LISINA, FENILALANINA, TREONINA, TRIPTOFANo, VALINA, ARGININA, HISTIDINA, ALANINA, GLICINA, ÁCIDO ASPÁRTICO, ÁCIDO GLUTÂMICO, PROLINA, SERINA, TIROSINA, metionina (11 C);LABORATORIOS B. BRAUN S/A
DIPEPTIVEN;Específico;NUTRIENTES PARENTERAIS;alanilglutamina;FRESENIUS KABI BRASIL LTDA
GLICOSE;Específico;NUTRIENTES PARENTERAIS;GLICOSE;SAMTEC BIOTECNOLOGIA LIMITADA
GLICOSE  HYPOFARMA;Específico;NUTRIENTES PARENTERAIS;GLICOSE ANIDRA;HYPOFARMA
GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%;Específico;NUTRIENTES PARENTERAIS;GLICOSE, CLORETO DE SÓDIO;LABORATORIOS B. BRAUN S/A
GLICOSE BEKER;Específico;NUTRIENTES PARENTERAIS;GLICOSE;BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA
GLICOSE MONOIDRATADA;Específico;NUTRIENTES PARENTERAIS;GLICOSE MONOIDRATADA;EUROFARMA LABORATORIOS S.A.
GLYCOPHOS;Específico;NUTRIENTES PARENTERAIS;GLICEROFOSFATO DE SÓDIO;FRESENIUS KABI BRASIL LTDA
JP GLICOSE;Específico;NUTRIENTES PARENTERAIS;GLICOSE;JP INDUSTRIA FARMACEUTICA S/A
KABIVEN;Específico;NUTRIENTES PARENTERAIS;ALANINA, GLICOSE MONOHIDRATADA, ÓLEO DE SOJA, ARGININA, L-ALANINA, ÁCIDO ASPÁRTICO, L-ARGININA, ÁCIDO GLUTÂMICO, GLICINA, L-ÁCIDO ASPÁRTICO, HISTIDINA, L-ÁCIDO GLUTÂMICO, ISOLEUCINA, L-HISTIDINA, LEUCINA, CLORIDRATO DE LISINA, L-ISOLEUCINA, L-LEUCINA, metionina (11 C), FENILALANINA, L-METIONINA, PROLINA, L-FENILALANINA, SERINA, L-PROLINA, TREONINA, L-SERINA, TRIPTOFANo, L-TREON;FRESENIUS KABI BRASIL LTDA
LIPIDEM;Específico;NUTRIENTES PARENTERAIS;TRIGLICERÍDEOS DE CADEIA MÉDIA, ÓLEO DE SOJA, TRIGLICERÍDIOS C10-18;LABORATORIOS B. BRAUN S/A
LIPOFUNDIN;Específico;NUTRIENTES PARENTERAIS;ÓLEO DE SOJA, TRIGLICERÍDEOS CADEIA MÉDIA, TRIGLICERÍDEOS DE CADEIA MÉDIA, GLICEROL, LECITINA DE OVO;LABORATORIOS B. BRAUN S/A
LIPOVENOS  MCT;Específico;NUTRIENTES PARENTERAIS;ÓLEO DE SOJA, TRIGLICERÍDEOS CADEIA MÉDIA, TRIGLICERÍDEOS DE CADEIA MÉDIA, GLICEROL, LECITINA DE OVO;FRESENIUS KABI BRASIL LTDA
NEPHROTECT;Específico;NUTRIENTES PARENTERAIS;L-ISOLEUCINA, L-LEUCINA, ACETATO DE LISINA, L-METIONINA, L-FENILALANINA, L-TREONINA, L-TRIPTOFANO, LEVOVALINA, L-HISTIDINA, L-ALANINA, N-ACETIL CISTEÍNA, GLICINA, L-PROLINA, L-SERINA, L-TIROSINA, L-ARGININA, gliciltirosina;FRESENIUS KABI BRASIL LTDA
NOVOPHOS;Específico;NUTRIENTES PARENTERAIS;GLICEROFOSFATO DE SÓDIO;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
NUTRIFLEX;Específico;NUTRIENTES PARENTERAIS;ISOLEUCINA, LEUCINA, CLORIDRATO DE LISINA, levometionina, FENILALANINA, TREONINA, TRIPTOFANo, LEVOVALINA, ARGININA, CLORIDRATO DE HISTIDINA MONOIDRATADO, ALANINA, ÁCIDO ASPÁRTICO, ÁCIDO GLUTÂMICO, GLICINA, PROLINA, SERINA, HIDRÓXIDO DE SÓDIO, CLORETO DE SÓDIO, ACETATO DE SÓDIO TRI-HIDRATADO , ACETATO DE POTÁSSIO, ACETATO DE MAGNÉSIO TETRAIDRATADO, CLORETO DE CÁLCIO DI-HIDRATADO;LABORATORIOS B. BRAUN S/A
NUTRIFLEX LIPID;Específico;NUTRIENTES PARENTERAIS;ISOLEUCINA, LEUCINA, CLORIDRATO DE LISINA, levometionina, FENILALANINA, TREONINA, TRIPTOFANo, VALINA, ARGININA, CLORIDRATO DE HISTIDINA MONOIDRATADO, HISTIDINA, ALANINA, ÁCIDO AMINOACÉTICO, ÁCIDO ASPÁRTICO, ÁCIDO GLUTÂMICO, PROLINA, SERINA, ACETATO DE MAGNÉSIO TETRAIDRATADO, GLICOSE MONOIDRATADA, ACETATO DE SÓDIO TRIIDRATADO, TRIGLICERÍDEOS CADEIA MÉDIA, TRIGLICERÍDEOS DE CADEI;LABORATORIOS B. BRAUN S/A
NUTRIFLEX LIPID;Específico;NUTRIENTES PARENTERAIS;ISOLEUCINA, LEUCINA, CLORIDRATO DE LISINA, levometionina, FENILALANINA, TREONINA, TRIPTOFANo, LEVOVALINA, ARGININA, CLORIDRATO DE HISTIDINA MONOIDRATADO, ALANINA, ÁCIDO ASPÁRTICO, ÁCIDO GLUTÂMICO, GLICINA, PROLINA, SERINA, HIDRÓXIDO DE SÓDIO, CLORETO DE SÓDIO, ACETATO DE SÓDIO TRI-HIDRATADO , ACETATO DE POTÁSSIO, ACETATO DE MAGNÉSIO TETRAIDRATADO, CLORETO DE CÁLCIO DI-HIDRATADO;LABORATORIOS B. BRAUN S/A
NUTRIFLEX PLUS;Específico;NUTRIENTES PARENTERAIS;ISOLEUCINA, LEUCINA, CLORIDRATO DE LISINA, levometionina, FENILALANINA, TREONINA, TRIPTOFANo, LEVOVALINA, GLUTAMATO DE ARGININA, CLORIDRATO DE HISTIDINA MONOIDRATADO, ALANINA, ÁCIDO ASPÁRTICO, ÁCIDO GLUTÂMICO, GLICINA, PROLINA, SERINA, ACETATO DE MAGNÉSIO TETRAIDRATADO, ACETATO DE SÓDIO TRI-HIDRATADO , fosfato de sódio monobásico di-hidratado, HIDRÓXIDO DE POTÁSSIO, HIDRÓXIDO D;LABORATORIOS B. BRAUN S/A
OLIG-TRAT;Específico;NUTRIENTES PARENTERAIS;SULFATO CÚPRICO PENTAIDRATADO, SULFATO DE ZINCO HEPTAIDRATADO, SULFATO DE MANGANÊS MONOIDRATADO, CLORETO CRÔMICO HEXAIDRATADO;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
OMEGAVEN;Específico;NUTRIENTES PARENTERAIS;ÓLEO DE PEIXE;FRESENIUS KABI BRASIL LTDA
POLIGNUTRI;Específico;NUTRIENTES PARENTERAIS;SULFATO DE ZINCO HEPTAIDRATADO, SULFATO CÚPRICO PENTAIDRATADO, SULFATO DE MANGANÊS MONOIDRATADO, CLORETO CRÔMICO HEXAIDRATADO, ÁCIDO SELENIOSO;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
PRIMENE;Específico;NUTRIENTES PARENTERAIS;L-ISOLEUCINA, L-LEUCINA, LEVOVALINA, L-LISINA, L-METIONINA, L-FENILALANINA, L-TREONINA, L-TRIPTOFANO, L-ARGININA, L-HISTIDINA, L-ALANINA, ÁCIDO L-ASPÁRTICO, CLORIDRATO DE L-CISTEINA, L-CISTEÍNA, L-ÁCIDO GLUTÂMICO, ÁCIDO L-GLUTÂMICO, GLICINA, L-PROLINA, L-SERINA, L-TIROSINA, CLORIDRATO DE ORNITINA, L-ORNITINA, TAURINA;BAXTER HOSPITALAR LTDA
SACFER;Específico;NUTRIENTES PARENTERAIS;SACARATO DE HIDRÓXIDO FÉRRICO;VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
SMOFKABIVEN;Específico;NUTRIENTES PARENTERAIS;ALANINA, ARGININA, GLICINA, HISTIDINA, ISOLEUCINA, LEUCINA, ACETATO DE LISINA, levometionina, FENILALANINA, PROLINA, SERINA, TAURINA, TREONINA, TRIPTOFANo, TIROSINA, LEVOVALINA, cloreto de cálcio diidratado, GLICEROFOSFATO DE SÓDIO, SULFATO DE MAGNÉSIO HEPTAIDRATADO, CLORETO DE POTÁSSIO, ACETATO DE SÓDIO TRIHIDRATADO, SULFATO DE ZINCO HEPTAIDRATADO, GLICOSE MONOHIDRATADA, ÓLEO ;FRESENIUS KABI BRASIL LTDA
SMOFKABIVEN LIVRE DE ELETRÓLITOS;Específico;NUTRIENTES PARENTERAIS;ALANINA, ARGININA, GLICINA, HISTIDINA, ISOLEUCINA, LEUCINA, ACETATO DE LISINA, metionina (11 C), FENILALANINA, PROLINA, SERINA, TAURINA, TREONINA, TRIPTOFANo, TIROSINA, LEVOVALINA, GLICOSE MONOHIDRATADA, ÓLEO DE SOJA, TRIGLICERÍDEOS CADEIA MÉDIA, ÓLEO DE OLIVA, ÓLEO DE PEIXE;FRESENIUS KABI BRASIL LTDA
SMOFLIPID 20%;Específico;NUTRIENTES PARENTERAIS;ÓLEO DE SOJA, TRIGLICERÍDEOS CADEIA MÉDIA, ÓLEO DE OLIVA, ÓLEO DE PEIXE;FRESENIUS KABI BRASIL LTDA
SOLUÇÃO DE GLICOSE B. BRAUN;Específico;NUTRIENTES PARENTERAIS;GLICOSE;LABORATORIOS B. BRAUN S/A
XAGLUSEF;Específico;NUTRIENTES PARENTERAIS;alanilglutamina;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA
ZELAZAFER;Específico;NUTRIENTES PARENTERAIS;SACARATO DE HIDRÓXIDO FÉRRICO;VIATRIS FARMACEUTICA DO BRASIL LTDA
ZINCTRACE;Específico;NUTRIENTES PARENTERAIS;SULFATO DE ZINCO HEPTAIDRATADO;INPHARMA LABORATORIOS LTDA
